ID_contrato,Contratada,Instrumento,Numero_intrumento,Data Inicial,Data Final,Valor_instrumento,Status
1,CDV Comercial de Alimentos Eireli,Contrato,40/2021,2022-03-03,2023-03-03,126909.48,Encerrado
2,CDV Comercial de Alimentos Eireli,Contrato,42/2021,2022-03-03,2023-03-03,3738.58,Encerrado
3,N3 Distribuição de Suprimentos LTDA,Contrato,11/2023,2023-05-24,2024-05-24,117891.84,Encerrado
4,Nara Comercial de Alimentos LTDA,Contrato,08/2024,2024-07-05,2025-07-05,104652.56,Encerrado
5,Nara Comercial de Alimentos LTDA,Termo Aditivo 1,08/2024,2025-07-05,2026-07-05,143052.56,Vigênte
