N° do Processo,ID do Contrato,Contratada,Objeto,N° do Contrato,Atualização de Valores,Valor do Contrato,Data Aditivos,Empenho ,Saldo Empenho
01350.000342/2021-55,1,Rei de Ouro Mudanças e Transportes Eireli - EPP,Transporte mobiliário,18/2021,Contrato Início,329849.59999999998,8/24/2021,318700,304284.55
,,,,,Termo Aditivo 1 - SEI 0167449,274418.7,8/24/2022,245257.4,199323.58999999997
,,,,,Termo Aditivo 2 - SEI 0249463,283090.3,8/25/2023,200672.99,96981.81
,,,,,Termo Aditivo 3 - SEI 0297763,295829.09999999998,8/25/2024,94342.3,32539.490000000013
,,,,,,,,,
,,,,,,,,,
