ID_contrato,Contratada,Instrumento,Numero_intrumento,Data Incial,Data Final,Valor_instrumento,Status
1,Prime Consultoria e Assessoria Empresarial LTDA,Contrato,9/2022,2022-06-06,2023-06-06,93692.6,
2,Prime Consultoria e Assessoria Empresarial LTDA,Termo Aditivo,1º TA,2023-06-07,2024-06-06,93692.6,
3,Prime Consultoria e Assessoria Empresarial LTDA,Termo Aditivo,2º TA,2024-06-07,2025-06-06,93692.6,
4,Prime Consultoria e Assessoria Empresarial LTDA,Termo Aditivo,3º TA,2025-06-06,2026-06-06,93692.6,Vigente
