ID_contrato,Instrumento,Numero_intrumento,Contratada,Data_vig_inicial,Data_vig_final,Valor_instrumento,Quant_contratada,Status
1,Dispensa de licitação,15/2021,Acquapura Comercial Eireli,2021-03-12,2022-03-12,17550,2700,
2,Dispensa de licitação,18/2022 L,W & E Comércio de Bebidas LTDA,2022-04-13,2023-04-13,10080,1680,
3,Dispensa de licitação,14/2023,Lenda - Industria de Água Mineral Ltda,2023-04-14,2024-04-13,1800,360,
4,Dispensa de licitação,203001-90004/2023,Água Mineral Prime Eireli,2024-01-11,2025-01-10,3996,720,
5,Dispensa de licitação,01/2025,Calevi Mineradora e Comercio Ltda,2025-02-04,2026-02-04,3240,720,
