ID_contrato,Contratada,Instrumento,Numero_intrumento,Data_vig_inicial,Data_vig_final,Valor_instrumento,Status
1,Money Turismo - Eirelli EPP,Contrato,4/2020,2020-03-16,2021-03-16,1500056.82,
2,Money Turismo - Eirelli EPP,Termo Aditivo,1º TA,2021-03-16,2022-03-16,1500056.82,
3,Money Turismo - Eirelli EPP,Termo Aditivo,2º TA,2022-03-16,2023-03-16,1500056.82,
4,Money Turismo - Eirelli EPP,Termo Aditivo,3º TA,2023-03-16,2024-03-16,1568500.65,
5,Money Turismo - Eirelli EPP,Termo Aditivo,4º TA,2024-03-17,2025-03-16,1568500.65,
6,Money Turismo - Eirelli EPP,Termo Aditivo,5º TA,2025-03-17,2025-09-16,1568500.65,
